index,Frequency
stickers,27
cute,23
love,10
sticker,9
adorable,8
little,8
use,7
great,6
definitely,6
wait,6
packaging,6
really,6
Love,5
thank,5
quality,5
order,5
like,5
service,4
Great,4
good,4
Im,4
designs,4
super,4
note,4
bujo,4
variety,3
handwritten,3
lovely,3
arrived,3
peel,3
exactly,3
time,3
perfect,3
opening,3
Thank,3
awesome,3
buying,3
purchase,3
Cute,3
customer,3
fault,2
color,2
look,2
pack,2
pigment,2
strong,2
price,2
cups,2
lost,2
stars,2
seeing,2
mail,2
space,2
slow,2
person,2
design,2
just,2
didnt,2
shop,2
personable,2
backing,2
special,2
tabs,2
theme,2
nice,2
Beautiful,2
flakes,2
easy,2
Shipping,2
help,2
paper,2
Thanks,2
fast,2
people,2
seller,2
packaged,2
nicely,2
Shipped,2
future,2
received,2
extra,2
sets,2
think,2
listing,2
create,2
going,2
package,2
came,2
shipping,2
sweet,2
touch,2
sent,2
Adorable,2
Super,2
personal,2
Stickers,2
freebie,1
second,1
looking,1
Product,1
Supercute,1
GREAT,1
easier,1
backings,1
school,1
make,1
packagingDaughter,1
loves,1
pen,1
paling,1
lover,1
Amazing,1
gorgeous,1
Christmas,1
haha,1
ordered,1
earlier,1
big,1
deal,1
Holidays,1
busy,1
high,1
Absolutely,1
Boba,1
spacey,1
Packaged,1
bought,1
using,1
October,1
amazing,1
Quality,1
satisfied,1
Nice,1
contact,1
moisture,1
difficult,1
remove,1
Revised,1
Seller,1
reached,1
send,1
wasnt,1
got,1
3,1
supa,1
gotten,1
sellers,1
sure,1
smear,1
size,1
excellent,1
bullet,1
business,1
described,1
thanks,1
turnaround,1
Quick,1
journal,1
product,1
happy,1
Exactly,1
wanted,1
finished,1
Wonderful,1
owner,1
buy,1
Fast,1
project,1
success,1
forever,1
usps,1
insanely,1
darling,1
Bigger,1
thought,1
theyd,1
obnoxiously,1
simple,1
btw,1
Ty,1
hungry,1
looked,1
forward,1
disappoint,1
alongside,1
bc,1
took,1
wish,1
care,1
decided,1
place,1
server,1
book,1
serve,1
breakfast,1
theyre,1
honestly,1
Theyre,1
Absolute,1
breakfastbrunch,1
nd,1
pictured,1
unique,1
scrapbook,1
creating,1
quickly,1
tab,1
makes,1
letter,1
old,1
friend,1
daughter,1
cut,1
work,1
happier,1
wrote,1
envelope,1
kind,1
handwriting,1
wrapping,1
birthday,1
present,1
starts,1
felt,1
loved,1
fun,1
treat,1
pass,1
idea,1
included,1
personalized,1
accommodating,1
feel,1
helpful,1
yummy,1
disappointed,1
bit,1
center,1
compared,1
complain,1
fob,1
fine,1
